task_name,category,max_rank_change,mean_rank_change,models_moved_2plus,spearman_with_baseline
chebyshev_point_rf_learning,rl,4.0,0.5714285714285714,1,0.956043956043956
recurrence_second_order_rf_learning,rl,4.0,0.5714285714285714,1,0.956043956043956
perm_footrule_rf_learning,rl,4.0,0.8571428571428571,4,0.9340659340659341
mastermind_aggregate_rf_learning,rl,4.0,0.5714285714285714,1,0.956043956043956
crt_unique_rf_learning,rl,3.0,0.7142857142857143,4,0.9516483516483516
grid_octile_rf_learning,rl,3.0,1.2857142857142858,6,0.8813186813186813
grelkan_suppletion_lang_learning,language,3.0,0.42857142857142855,1,0.9736263736263736
bitstring_hamming_rf_learning,rl,3.0,0.42857142857142855,1,0.9736263736263736
glyph_bind_assoc_learning,associative,3.0,0.42857142857142855,1,0.9736263736263736
drelkovak_harmony_lang_learning,language,3.0,0.7142857142857143,3,0.956043956043956
fib_like_next_rf_learning,rl,3.0,0.42857142857142855,1,0.9736263736263736
graph_shortest_path_rf_learning,rl,3.0,0.42857142857142855,1,0.9736263736263736
drelvak_reduplication_lang_learning,language,3.0,0.42857142857142855,2,0.9692307692307693
grid_nav_rf_learning,rl,3.0,0.42857142857142855,2,0.9692307692307693
gray_hamming_rf_learning,rl,2.0,0.2857142857142857,1,0.9868131868131869
trevkovan_gradation_lang_learning,language,2.0,0.2857142857142857,1,0.9868131868131869
kophar_quantity_lang_learning,language,2.0,0.42857142857142855,2,0.9780219780219781
verbal_bandit_rf_learning,rl,2.0,0.2857142857142857,1,0.9868131868131869
mixed_radix_number_lang_learning,language,2.0,0.2857142857142857,2,0.9824175824175824
kelstran_tone_lang_learning,language,2.0,0.5714285714285714,4,0.9648351648351648
pelvan_agreement_lang_learning,language,2.0,0.2857142857142857,1,0.9868131868131869
skelth_allomorph_lang_learning,language,2.0,0.42857142857142855,1,0.9824175824175824
norkvash_scalar_lang_learning,language,2.0,0.2857142857142857,2,0.9824175824175824
skovar_deletion_lang_learning,language,2.0,0.2857142857142857,2,0.9824175824175824
strevoklan_neg_lang_learning,language,2.0,0.42857142857142855,1,0.9824175824175824
deceptive_stack_machine_obs_learning,observational,2.0,0.2857142857142857,1,0.9868131868131869
codon_table_translation_obs_learning,observational,2.0,0.2857142857142857,1,0.9868131868131869
affine_cipher_word_rf_learning,rl,2.0,0.2857142857142857,1,0.9868131868131869
sudoku_2x2_rf_learning,rl,2.0,0.2857142857142857,1,0.9868131868131869
shift_cipher_rf_learning,rl,2.0,0.5714285714285714,4,0.9648351648351648
minesweeper_1d_rf_learning,rl,2.0,0.5714285714285714,4,0.9648351648351648
hot_cold_rf_learning,rl,2.0,0.2857142857142857,1,0.9868131868131869
digit_square_error_rf_learning,rl,2.0,0.2857142857142857,1,0.9868131868131869
base7_decode_rf_learning,rl,2.0,0.5714285714285714,4,0.9648351648351648
interval_contains_rf_learning,rl,2.0,0.2857142857142857,1,0.9868131868131869
hidden_matrix_fill_obs_learning,observational,2.0,0.2857142857142857,1,0.9868131868131869
xor_subset_hamming_rf_learning,rl,2.0,0.5714285714285714,2,0.9736263736263736
xor_attribute_binding_assoc_learning,associative,2.0,0.5714285714285714,2,0.9736263736263736
semantic_override_concept_learning,concept,2.0,0.7142857142857143,3,0.9648351648351648
positional_encode_concept_learning,concept,2.0,0.5714285714285714,2,0.9736263736263736
layered_transform_concept_learning,concept,2.0,0.2857142857142857,1,0.9868131868131869
digit_cipher_concept_learning,concept,2.0,0.42857142857142855,1,0.9824175824175824
dual_recurrence_concept_learning,concept,2.0,0.5714285714285714,2,0.9736263736263736
blocking_effect_assoc_learning,associative,2.0,0.2857142857142857,1,0.9868131868131869
hapax_prime_concept_learning,concept,2.0,0.42857142857142855,1,0.9824175824175824
gated_dual_signal_binding_assoc_learning,associative,2.0,0.5714285714285714,1,0.9780219780219781
cumulative_state_rewrite_assoc_learning,associative,2.0,0.42857142857142855,1,0.9824175824175824
contextual_flip_assoc_learning,associative,2.0,0.2857142857142857,1,0.9868131868131869
two_counter_machine_obs_learning,observational,1.0,0.14285714285714285,0,0.9956043956043955
hidden_priority_order_obs_learning,observational,1.0,0.2857142857142857,0,0.9912087912087912
regex_intersection_membership_obs_learning,observational,1.0,0.2857142857142857,0,0.9912087912087912
grid_transform_concept_learning,concept,1.0,0.14285714285714285,0,0.9956043956043955
ring_operations_hidden_carry_obs_learning,observational,1.0,0.14285714285714285,0,0.9956043956043955
mealy_machine_output_obs_learning,observational,1.0,0.14285714285714285,0,0.9956043956043955
battleship_two_ships_rf_learning,rl,1.0,0.2857142857142857,0,0.9912087912087912
hidden_region_classifier_obs_learning,observational,1.0,0.14285714285714285,0,0.9956043956043955
coin_balance_rf_learning,rl,1.0,0.14285714285714285,0,0.9956043956043955
battleship_1d_rf_learning,rl,1.0,0.2857142857142857,0,0.9912087912087912
disjunctive_noise_concept_learning,concept,1.0,0.2857142857142857,0,0.9912087912087912
phonological_alternation_harmony_obs_learning,observational,1.0,0.07142857142857142,0,0.9989004944448662
hidden_modal_logic_kripke_obs_learning,observational,1.0,0.14285714285714285,0,0.9956043956043955
inference_dyad_operators_assoc_learning,associative,1.0,0.2857142857142857,0,0.9912087912087912
divisor_count_rf_learning,rl,1.0,0.14285714285714285,0,0.9956043956043955
hidden_damping_physics_obs_learning,observational,1.0,0.14285714285714285,0,0.9956043956043955
overexpectation_assoc_learning,associative,1.0,0.14285714285714285,0,0.9956043956043955
retrospective_revaluation_assoc_learning,associative,1.0,0.14285714285714285,0,0.9956043956043955
deep_second_order_extinction_assoc_learning,associative,1.0,0.14285714285714285,0,0.9956043956043955
temporal_pairing_tnr_assoc_learning,associative,1.0,0.14285714285714285,0,0.9956043956043955
manhattan_point_rf_learning,rl,1.0,0.14285714285714285,0,0.9956043956043955
latent_inhibition_assoc_learning,associative,1.0,0.2857142857142857,0,0.9912087912087912
nim_heap_rf_learning,rl,1.0,0.14285714285714285,0,0.9956043956043955
perm_fixed_points_rf_learning,rl,1.0,0.14285714285714285,0,0.9956043956043955
learned_irrelevance_assoc_learning,associative,1.0,0.14285714285714285,0,0.9956043956043955
product_hotcold_rf_learning,rl,1.0,0.2857142857142857,0,0.9912087912087912
rule90_step_rf_learning,rl,1.0,0.14285714285714285,0,0.9956043956043955
latent_set_binding_assoc_learning,associative,1.0,0.42857142857142855,0,0.9868131868131869
wordle_micro_rf_learning,rl,1.0,0.14285714285714285,0,0.9956043956043955
singleton_gate_local_max_obs_learning,observational,1.0,0.14285714285714285,0,0.9956043956043955
spurious_hue_true_edge_assoc_learning,associative,1.0,0.2857142857142857,0,0.9912087912087912
inhibitory_summation_assoc_learning,associative,1.0,0.14285714285714285,0,0.9956043956043955
agglutinative_morphology_obs_learning,observational,1.0,0.07142857142857142,0,0.9989004944448662
encoded_triple_concept_learning,concept,1.0,0.14285714285714285,0,0.9956043956043955
prentova_allomorphy_wugtest_lang_learning,language,1.0,0.14285714285714285,0,0.9956043956043955
strelkov_ergative_lang_learning,language,1.0,0.2857142857142857,0,0.9912087912087912
gwelthar_mirative_evidential_tone_lang_learning,language,1.0,0.14285714285714285,0,0.9956043956043955
arithmetic_entropy_coding_obs_learning,observational,1.0,0.14285714285714285,0,0.9956043956043955
affine_transform_chain_obs_learning,observational,1.0,0.2857142857142857,0,0.9912087912087912
nested_logic_concept_learning,concept,1.0,0.2857142857142857,0,0.9912087912087912
positional_mapping_concept_learning,concept,1.0,0.42857142857142855,0,0.9868131868131869
trenval_bleeding_lang_learning,language,1.0,0.14285714285714285,0,0.9956043956043955
skolvren_polysynthetic_lang_learning,language,1.0,0.14285714285714285,0,0.9956043956043955
vrelthan_rule_interaction_lang_learning,language,1.0,0.14285714285714285,0,0.9956043956043955
consonant_clusters_concept_learning,concept,1.0,0.2857142857142857,0,0.9912087912087912
sklonveth_root_pattern_lang_learning,language,1.0,0.14285714285714285,0,0.9956043956043955
vrendel_templatic_lang_learning,language,1.0,0.14285714285714285,0,0.9956043956043955
flow_network_capacity_obs_learning,observational,1.0,0.14285714285714285,0,0.9956043956043955
modular_subsequence_concept_learning,concept,1.0,0.42857142857142855,0,0.9868131868131869
relational_pairs_concept_learning,concept,1.0,0.2857142857142857,0,0.9912087912087912
dimval_metathesis_lang_learning,language,1.0,0.14285714285714285,0,0.9956043956043955
grid_parity_path_obs_learning,observational,1.0,0.2857142857142857,0,0.9912087912087912
violation_counter_concept_learning,concept,1.0,0.2857142857142857,0,0.9912087912087912
custom_gravity_simulation_obs_learning,observational,1.0,0.2857142857142857,0,0.9912087912087912
telvari_evidentiality_lang_learning,language,1.0,0.2857142857142857,0,0.9912087912087912
triple_parity_concept_learning,concept,1.0,0.2857142857142857,0,0.9912087912087912
state_machine_concept_learning,concept,1.0,0.2857142857142857,0,0.9912087912087912
hanoi_two_rf_learning,rl,0.0,0.0,0,1.0
occasion_setting_assoc_learning,associative,0.0,0.0,0,1.0
parity_groups_rf_learning,rl,0.0,0.0,0,1.0
latent_cross_binding_assoc_learning,associative,0.0,0.0,0,1.0
grid_seven_rf_learning,rl,0.0,0.0,0,1.0
hangman_lite_rf_learning,rl,0.0,0.0,0,1.0
hanoi_three_rf_learning,rl,0.0,0.0,0,1.0
sum_product_xy_rf_learning,rl,0.0,0.0,0,1.0
linear_polynomial_rf_learning,rl,0.0,0.0,0,1.0
lights_out_2x2_rf_learning,rl,0.0,0.0,0,1.0
linear_equation_rf_learning,rl,0.0,0.0,0,1.0
latent_set_variant_assoc_learning,associative,0.0,0.0,0,1.0
mastermind_classic_rf_learning,rl,0.0,0.0,0,1.0
dralven_tone_sandhi_lang_learning,language,0.0,0.0,0,1.0
quadratic_root_rf_learning,rl,0.0,0.0,0,1.0
letter_overlap_word_rf_learning,rl,0.0,0.0,0,1.0
vowel_rotation_concept_learning,concept,0.0,0.0,0,1.0
levenshtein_words_rf_learning,rl,0.0,0.0,0,1.0
drafnelt_switch_reference_lang_learning,language,0.0,0.0,0,1.0
odd_letter_score_pair_assoc_learning,associative,0.0,0.0,0,1.0
euler_totient_rf_learning,rl,0.0,0.0,0,1.0
digitwise_l1_rf_learning,rl,0.0,0.0,0,1.0
linear_feedback_shift_register_obs_learning,observational,0.0,0.0,0,1.0
lattice_meet_join_obs_learning,observational,0.0,0.0,0,1.0
hidden_group_operation_obs_learning,observational,0.0,0.0,0,1.0
hidden_token_filter_obs_learning,observational,0.0,0.0,0,1.0
sigil_naming_obs_learning,observational,0.0,0.0,0,1.0
pushdown_automaton_inference_obs_learning,observational,0.0,0.0,0,1.0
feistel_cipher_round_obs_learning,observational,0.0,0.0,0,1.0
pipeline_hazard_stall_counting_obs_learning,observational,0.0,0.0,0,1.0
register_machine_trace_obs_learning,observational,0.0,0.0,0,1.0
hidden_attribute_rule_obs_learning,observational,0.0,0.0,0,1.0
shapley_values_cooperative_game_obs_learning,observational,0.0,0.0,0,1.0
chemical_reaction_order_obs_learning,observational,0.0,0.0,0,1.0
hidden_state_machine_obs_learning,observational,0.0,0.0,0,1.0
symbolic_glyphpair_scoring_obs_learning,observational,0.0,0.0,0,1.0
syntax_tree_rewrite_obs_learning,observational,0.0,0.0,0,1.0
vigenere_variant_cipher_obs_learning,observational,0.0,0.0,0,1.0
hidden_modal_logic_kripke2_obs_learning,observational,0.0,0.0,0,1.0
