category,task_name,mean_score,std_score,discrimination_r,discrimination_p,d_index_27pct,n_models,classification
associative,blocking_effect_assoc_learning,0.7410714285714286,0.19170455851414184,-0.3661312917923224,0.19792511481117364,-0.16666666666666674,14,negative_discrimination
associative,contextual_flip_assoc_learning,0.4732142857142857,0.17790052540331497,0.6866293096455012,0.006682083921454579,0.4166666666666667,14,excellent_discrimination
associative,cumulative_state_rewrite_assoc_learning,0.26373626373626374,0.29568404499063106,0.600450156934132,0.03001479379262444,0.3333333333333333,13,excellent_discrimination
associative,deep_second_order_extinction_assoc_learning,0.8214285714285715,0.16978377605721018,0.7696555458519919,0.0012857787395087717,0.3666666666666666,14,excellent_discrimination
associative,gated_dual_signal_binding_assoc_learning,0.4743589743589744,0.3124630155629215,0.6989682572563723,0.007852054601267052,0.4444444444444445,13,excellent_discrimination
associative,glyph_bind_assoc_learning,0.30769230769230776,0.3049881169476771,0.7376363509808511,0.004003105398381679,0.5666666666666668,13,excellent_discrimination
associative,inference_dyad_operators_assoc_learning,0.3482142857142857,0.28807617508753,0.851932336008241,0.00010972639833783142,0.625,14,excellent_discrimination
associative,inhibitory_summation_assoc_learning,0.5803571428571429,0.18056918228711324,0.684975914528285,0.006868688408944483,0.20833333333333337,14,excellent_discrimination
associative,latent_cross_binding_assoc_learning,0.619047619047619,0.2220804536449718,0.41375360874100686,0.14138563052406802,0.1111111111111111,14,good_discrimination
associative,latent_inhibition_assoc_learning,0.6339285714285714,0.14534661246517594,0.7120036448288496,0.004281469317871304,0.16666666666666663,14,excellent_discrimination
associative,latent_set_binding_assoc_learning,0.8469387755102041,0.19812742692803673,0.4022800694535148,0.15388228523464453,0.23809523809523814,14,good_discrimination
associative,latent_set_variant_assoc_learning,0.8928571428571429,0.07985957062499247,0.5994331547729341,0.02347361136952139,0.11111111111111105,14,excellent_discrimination
associative,learned_irrelevance_assoc_learning,0.8303571428571429,0.16096211051178524,0.6212116738654924,0.017730790287810324,0.33333333333333326,14,excellent_discrimination
associative,occasion_setting_assoc_learning,0.8520408163265306,0.1414839247332862,0.2384693378592683,0.41163090180641804,0.1428571428571429,14,fair_discrimination
associative,odd_letter_score_pair_assoc_learning,0.49999999999999994,0.20672455764868078,0.6923355494384957,0.008726495491274768,0.22222222222222215,13,excellent_discrimination
associative,overexpectation_assoc_learning,0.39285714285714285,0.26666400934050144,0.5860978688196479,0.027619741398090657,0.375,14,excellent_discrimination
associative,retrospective_revaluation_assoc_learning,0.6224489795918366,0.2329124940921087,0.7411102189069552,0.002422401148204073,0.4285714285714287,14,excellent_discrimination
associative,spurious_hue_true_edge_assoc_learning,0.26785714285714285,0.3199370154851592,0.6611378090563479,0.01003632734843598,0.33333333333333337,14,excellent_discrimination
associative,temporal_pairing_tnr_assoc_learning,0.9038461538461539,0.15623150778146078,0.5313219132056289,0.061687830054691195,0.25,13,excellent_discrimination
associative,xor_attribute_binding_assoc_learning,0.5238095238095238,0.24281045302822787,0.6000564323989023,0.023292012280236116,0.6111111111111112,14,excellent_discrimination
concept,consonant_clusters_concept_learning,0.21938775510204087,0.2758260661036059,0.8662631391509867,6.154149737475255e-05,0.5726190476190477,14,excellent_discrimination
