task_name,category,max_rank_change,mean_rank_change,models_affected,models_moved_2plus,spearman_with_baseline,top_mover,top_change
xor_subset_hamming_rf_learning,rl,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Opus 4.6,1.0
hot_cold_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
hanoi_two_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
hidden_damping_physics_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
inhibitory_summation_assoc_learning,associative,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
grid_parity_path_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
hidden_group_operation_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
custom_gravity_simulation_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
interval_contains_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
chemical_reaction_order_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
flow_network_capacity_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
letter_overlap_word_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
lfu_cache_eviction_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
linear_feedback_shift_register_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
arithmetic_entropy_coding_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
affine_transform_chain_obs_learning,observational,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Opus 4.6,1.0
agglutinative_morphology_obs_learning,observational,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Opus 4.6,1.0
trevkovan_gradation_lang_learning,language,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
trenval_bleeding_lang_learning,language,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
threlkav_scope_ergativity_lang_learning,language,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
strevoklan_neg_lang_learning,language,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Haiku 4.5,1.0
strelkov_ergative_lang_learning,language,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
skovar_deletion_lang_learning,language,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
sklonveth_root_pattern_lang_learning,language,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
hanoi_three_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
phonological_alternation_harmony_obs_learning,observational,1.0,0.42857142857142855,6,0,0.9868131868131869,Claude Opus 4.6,1.0
gwelthar_mirative_evidential_tone_lang_learning,language,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Sonnet 4.6,1.0
hidden_modal_logic_kripke2_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
collatz_length_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
base7_decode_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Sonnet 4.6,1.0
battleship_1d_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
battleship_two_ships_rf_learning,rl,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Opus 4.6,1.0
affine_cipher_word_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
divisor_count_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
voronoi_custom_metric_obs_learning,observational,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Opus 4.6,1.0
two_counter_machine_obs_learning,observational,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Haiku 4.5,1.0
finite_state_transducer_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
hidden_priority_order_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
regex_intersection_membership_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
hidden_region_classifier_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
syntax_tree_rewrite_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
hidden_modal_logic_kripke_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
symbolic_glyphpair_scoring_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
hidden_state_machine_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
grid_octile_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
register_machine_trace_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
grid_nav_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
mealy_machine_output_obs_learning,observational,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Haiku 4.5,1.0
pushdown_automaton_inference_obs_learning,observational,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Haiku 4.5,1.0
sigil_naming_obs_learning,observational,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
skolvren_polysynthetic_lang_learning,language,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
vrendel_templatic_lang_learning,language,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Haiku 4.5,1.0
skelth_allomorph_lang_learning,language,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
modular_subsequence_concept_learning,concept,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
sudoku_2x2_rf_learning,rl,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Opus 4.6,1.0
positional_encode_concept_learning,concept,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Haiku 4.5,1.0
hapax_prime_concept_learning,concept,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Opus 4.6,1.0
encoded_triple_concept_learning,concept,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
dual_recurrence_concept_learning,concept,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Haiku 4.5,1.0
sum_product_xy_rf_learning,rl,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
disjunctive_noise_concept_learning,concept,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
glyph_bind_assoc_learning,associative,1.0,0.2857142857142857,4,0,0.9912087912087912,Claude Haiku 4.5,1.0
gated_dual_signal_binding_assoc_learning,associative,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
cumulative_state_rewrite_assoc_learning,associative,1.0,0.14285714285714285,2,0,0.9956043956043955,Claude Opus 4.6,1.0
odd_letter_score_pair_assoc_learning,associative,1.0,0.14285714285714285,2,0,0.9956043956043955,GPT-5.4 mini,1.0
